scope,entity,cluster,flag,count,detail
city_field,Fuzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Guangzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hainan_Sheng:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hangzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hong_Kong:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Huizhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Huludao:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jiangmen:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jiaxing:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jieyang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jinzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Lianyungang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Maoming:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Nantong:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Ningbo:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Ningde:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Panjin:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Putian:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qingdao:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qinhuangdao:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qinzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Quanzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Rizhao:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shanghai_Shi:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shantou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shanwei:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shaoxing:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shenzhen:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Taizhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Tangshan:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Tianjin_Shi:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Weifang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Weihai:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Wenzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Xiamen:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yancheng:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yangjiang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yantai:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yingkou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhangzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhanjiang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhongshan:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhoushan:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhuhai:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Beihai:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Binzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Cangzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Chaozhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dalian:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dandong:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dongguan:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dongying:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Fangchenggang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Fuzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Guangzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hainan_Sheng:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hangzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Hong_Kong:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Huizhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Huludao:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jiangmen:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jiaxing:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jieyang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Jinzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Lianyungang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Maoming:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Nantong:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Ningbo:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Ningde:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Panjin:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Putian:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qingdao:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qinhuangdao:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Qinzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Quanzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Rizhao:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shanghai_Shi:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shantou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shanwei:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shaoxing:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Shenzhen:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Taizhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Tangshan:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Tianjin_Shi:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Weifang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Weihai:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Wenzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Xiamen:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yancheng:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yangjiang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yantai:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Yingkou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhangzhou:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhanjiang:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhongshan:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhoushan:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Zhuhai:Pop_Density,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
